iter	RMSE
0	11859.68845
1	11536.71305
2	11215.9307
3	10914.79754
4	10624.3903
5	10340.33344
6	10090.6294
7	9821.014544
8	9565.271777
9	9320.541122
10	9071.987948
11	8860.529279
12	8666.689509
13	8451.940245
14	8281.943762
15	8115.382763
16	7938.170665
17	7775.121552
18	7615.987249
19	7470.310834
20	7326.04776
21	7183.438733
22	7038.146338
23	6897.974234
24	6772.33937
25	6663.330243
26	6567.613872
27	6457.584344
28	6357.069973
29	6255.975887
30	6167.728613
31	6073.105677
32	5995.25036
33	5914.198024
34	5836.55761
35	5763.777271
36	5692.033119
37	5634.70163
38	5572.032228
39	5506.693805
40	5450.531043
41	5399.667697
42	5349.830098
43	5305.98275
44	5264.943877
45	5219.324133
46	5174.416599
47	5132.978343
48	5097.377005
49	5070.078149
50	5038.452553
51	5007.265929
52	4979.159902
53	4948.856654
54	4918.563777
55	4902.515913
56	4875.821537
57	4852.550609
58	4829.172123
59	4811.933792
60	4795.550798
61	4774.577318
62	4753.882835
63	4733.536291
64	4716.407448
65	4697.949281
66	4682.387197
67	4665.634992
68	4650.110455
69	4637.565816
70	4622.379739
71	4607.100885
72	4592.718574
73	4581.085454
74	4571.23868
75	4558.717736
76	4544.605595
77	4532.782565
78	4521.534507
79	4509.666689
80	4496.495242
81	4484.77587
82	4473.174598
83	4463.264942
84	4454.587784
85	4445.957835
86	4435.129743
87	4431.680682
88	4422.997521
89	4413.113706
90	4404.475843
91	4398.287713
92	4389.714224
93	4381.185926
94	4373.931457
95	4366.92957
96	4360.070303
97	4351.655374
98	4343.844823
99	4338.799886
100	4332.661601
101	4327.71317
102	4321.49234
103	4318.752474
104	4312.540889
105	4306.601094
106	4302.813725
107	4297.550102
108	4291.26578
109	4285.927551
110	4278.704652
111	4274.313263
112	4267.367573
113	4261.637655
114	4256.213607
115	4249.786291
116	4245.952724
117	4245.278419
118	4240.05698
119	4234.710984
120	4229.687132
121	4225.671585
122	4221.34857
123	4218.680625
124	4215.812435
125	4210.349282
126	4206.032341
127	4200.587741
128	4196.916845
129	4192.537126
130	4189.581807
131	4184.204064
132	4180.23842
133	4175.514713
134	4171.828922
135	4169.110224
136	4163.632024
137	4162.961008
138	4159.112778
139	4155.78187
140	4150.728597
141	4146.746371
142	4146.221344
143	4143.118635
144	4139.2743014145	4135.46424146	4011.922897
147	4006.56628
148	4000.680429
149	3996.223755
150	3995.246111
151151	4109.9820152152	4106.1944153153	4100.674154	154	4096.62155	3155	4091.81156	3156	4088.95157	3157	4083.759597
158	4080.421201
159	4076.340028
160	4072.008436
161	4068.83162	3162	4064.590626
163	4062.372053
164	4056.434513
165	4053.977401
166	4050.638623
167	4048.96168	3931.865904
169	3169	4042.03170	3170	4039.34171	171	4036.703172	172	4032.616173	173	4028.033174	174	4024.860175	175	4021.82717176	4019.7831917177	4016.8359617178	4012.73328179	3888.578576
1180	4000.568091
181	3996.911087
182	3993.784298
183	3985.483451
184	3982.366318
185	3974.968551
186	3967.920347
187	3963.414056
188	3961.14199
189	3957.291811
190	3954.643331
191	3951.264159
192	3947.102663
193	3943.057153
194	3940.852382
195	3939.069191
196	3933.780701
197	3929.270584
198	3924.626745
199	3921.876676
200	3919.66759
201	3917.399294
202	3914.143604
203	3910.584914
204	3906.868935
205	3903.00724
206	3897.81663
207	3892.122715
208	3889.820578
209	3885.952862
210	3881.54102
211	3878.014657
212	3875.526112
213	3873.226822
214	3869.210445
215	3865.898507
216	3862.527333
21217	3734.3281218218	3731.537521219	3728.4192322220	3723.6141622221	3720.5770822222	3715.945998
223	3714.529655
224	3708.39745
225	3705.987633
226	3704.327026
227	3703.442715
228	3702.302572
229	3698.593358
230	3696.86193
231	3691.013141
232	3687.279653
233	3684.192492
234	3680.579078
235	3678.642071
236	3675.887916
237	3671.761967
238	3667.727475
239	3663.968743
240	3661.109756
241	3657.079154
242	3655.259552
243	3652.56121
244	3650.389731
245	3646.637007
246	3643.669014
247	3637.706357
248	3634.409741
249	3632.835065
250	3629.600068
251	3627.116074
252	3622.805899
253	3620.59953
254	3617.974237
255	3616.376966
256	3613.842135
257	3611.030709
258	3609.508937
259	3606.723187
260	3605.003767
261	3600.942541
262	3598.959639
263	3594.83692
264	3591.462905
265	3585.792809
266	3581.948505
267	3578.503537
268	3575.343161
269	3572.261127
270	3568.908337
271	3566.368741
272	3562.804813
273	3559.266898
274	3555.978925
275	3553.619303
276	3551.055904
277	3549.707396
278	3547.515435
279	3544.618941
280	3541.304848
281	3537.428697
282	3534.869528
283	3531.56723
284	3528.833732
285	3524.755207
286	3522.152331
287	3517.827288
288	3514.380026
289	3511.554991
290	3509.576666
291	3506.965483
292	3503.577832
293	3498.426988
294	3495.747486
295	3491.86712
296	3490.294218
297	3488.826006
298	3486.349995
299	3482.48754
300	3478.49941
301	3473.946731
302	3472.429938
303	3469.721681
304	3467.0752
305	3465.251685
306	3462.33162
307	3460.158023
308	3457.598843
309	3453.772787
310	3448.874526
311	3446.216604
312	3443.713357
313	3441.646362
314	3437.929633
315	3436.349116
316	3434.455271
317	3431.796738
318	3429.968161
319	3428.620111
320	3424.917792
321	3422.164266
322	3419.597064
323	3417.611557
324	3413.122752
325	3410.725281
326	3407.102821
327	3403.009296
328	3400.481617
329	3396.563051
330	3395.217657
331	3390.616653
332	3386.478281
333	3382.863002
334	3378.570983
335	3374.579064
336	3370.146021
337	3367.608856
338	3365.082478
339	3361.632083
340	3360.407293
341	3358.32732
342	3354.98271
343	3353.783645
344	3349.228893
345	3345.397931
346	3340.755356
347	3338.038729
348	3335.488263
349	3334.069596
350	3330.989549
351	3327.439727
352	3323.204726
353	3318.481228
354	3314.860642
355	3311.716524
356	3310.434202
357	3307.332497
358	3304.481885
359	3303.016252
360	3300.779385
361	3298.592179
362	3296.193107
363	3292.218478
364	3288.430497
365	3287.020434
366	3285.835505
367	3281.944126
368	3280.799755
369	3277.857432
370	3274.863869
371	3271.065704
372	3269.981101
373	3268.915989
374	3266.735755
375	3262.493991
376	3259.571344
377	3256.537588
378	3252.746585
379	3250.636097
380	3248.740436
381	3247.999089
382	3244.318728
383	3242.194122
384	3239.384788
385	3237.455479
386	3234.225709
387	3231.908139
388	3229.658582
389	3226.519794
390	3220.431875
391	3217.875137
392	3216.53675
393	3213.914785
394	3210.822398
395	3208.773675
396	3208.082735
397	3204.818871
398	3201.846797
399	3200.062923
400	3196.631933
401	3195.34202
402	3192.797595
403	3191.744946
404	3191.129108
405	3189.313141
406	3188.667192
407	3187.481034
408	3186.413091
409	3183.029167
410	3180.439571
411	3177.717571
412	3173.825138
413	3172.136587
414	3170.159793
415	3166.596519
416	3165.089684
417	3164.085377
418	3161.904342
419	3159.412127
420	3156.41346
421	3153.983282
422	3150.335796
423	3145.269019
424	3144.235659
425	3141.182093
426	3138.825541
427	3136.24923
428	3134.522874
429	3132.99647
430	3131.985817
431	3130.949426
432	3127.549348
433	3125.539093
434	3124.79659
435	3123.940122
436	3119.239242
437	3117.513692
438	3115.626674
439	3111.464548
440	3108.352825
441	3104.97823
442	3101.321419
443	3099.634133
444	3098.712073
445	3095.979853
446	3092.669897
447	3089.897838
448	3087.124719
449	3083.360252
450	3082.382014
451	3080.253778
452	3077.398623
453	3075.585647
454	3073.126313
455	3071.099564
456	3069.761453
457	3068.221717
458	3067.235367
459	3065.944977
460	3064.34714
461	3062.708536
462	3061.308737
463	3059.927268
464	3057.145267
465	3056.163383
466	3054.021382
467	3053.057904
468	3051.096951
469	3049.919496
470	3045.646852
471	3044.231861
472	3042.56693
473	3041.192158
474	3039.10851
475	3036.752126
476	3035.224304
477	3033.78956
478	3032.424799
479	3028.892275
480	3027.918152
481	3025.990059
482	3022.477905
483	3021.01259
484	3019.660678
485	3018.035708
486	3017.157933
487	3015.302793
488	3013.69317
489	3010.46996
490	3009.35769
491	3007.310005
492	3004.993162
493	3003.431334
494	3001.423382
495	3000.001913
496	2998.48493
497	2997.062948
498	2995.27334
499	2993.817136
500	2992.766381
501	2990.445479
502	2988.983017
503	2987.535729
504	2986.045551
505	2984.895581
506	2983.527329
507	2981.812664
508	2978.809887
509	2974.457487
510	2972.492877
511	2968.274681
512	2967.312215
513	2963.851534
514	2962.782019
515	2957.513541
516	2954.845902
517	2953.4677
518	2949.925471
519	2948.682946
520	2946.52915
521	2944.720802
522	2942.841745
523	2938.347013
524	2934.321421
525	2933.486704
526	2932.578854
527	2928.688444
528	2925.493757
529	2924.041045
530	2922.696628
531	2921.551972
532	2920.358593
533	2919.09612
534	2915.751261
535	2912.186427
536	2909.305749
537	2908.410735
538	2907.167446
539	2903.928346
540	2901.685146
541	2900.623272
542	2897.888627
543	2893.722997
544	2892.106162
545	2889.07463
546	2887.571013
547	2886.085497
548	2881.801726
549	2880.462116
550	2878.551496
551	2877.088043
552	2875.871651
553	2874.892664
554	2873.855135
555	2872.764636
556	2870.641256
557	2868.326914
558	2864.437593
559	2862.867283
560	2861.940683
561	2861.189878
562	2856.382928
563	2855.672669
