iter	Passed	Remaining
0	48	48111
1	48	24281
2	49	16440
3	50	12557
4	50	10130
5	51	8581
6	52	7474
7	53	6644
8	54	5993
9	55	5463
10	55	4999
11	56	4641
12	57	4343
13	58	4085
14	58	3867
15	59	3677
16	60	3510
17	61	3364
18	62	3243
19	63	3102
20	64	2994
21	65	2892
22	65	2802
23	66	2722
24	67	2647
25	68	2575
26	69	2493
27	70	2433
28	70	2376
29	71	2321
30	72	2262
31	73	2213
32	73	2166
33	74	2123
34	75	2085
35	76	2051
36	77	2027
37	78	1993
38	80	1981
39	81	1953
40	82	1923
41	82	1892
42	83	1869
43	84	1843
44	85	1808
45	86	1784
46	86	1763
47	87	1743
48	88	1724
49	89	1697
50	90	1675
51	90	1657
52	91	1643
53	92	1626
54	93	1612
55	94	1586
56	94	1570
57	95	1555
58	96	1540
59	98	1537
60	98	1518
61	99	1505
62	100	1497
63	101	1485
64	102	1473
65	103	1461
66	104	1449
67	105	1443
68	106	1435
69	107	1430
70	110	1442
71	111	1432
72	112	1423
73	113	1414
74	113	1400
75	114	1391
76	115	1382
77	116	1374
78	117	1365
79	118	1358
80	120	1364
81	121	1357
82	122	1348
83	122	1340
84	123	1332
85	124	1324
86	125	1316
87	125	1304
88	126	1296
89	127	1288
90	128	1281
91	129	1275
92	131	1280
93	132	1272
94	132	1265
95	133	1258
96	134	1254
97	135	1247
98	136	1240
99	137	1233
100	137	1227
101	138	1221
102	139	1215
103	140	1207
104	141	1205
105	142	1200
106	143	1194
107	143	1188
108	144	1182
109	145	1177
110	146	1172
111	147	1167
112	147	1161
113	148	1156
114	149	1151
115	151	1157
116	152	1152
117	153	1143
118	153	1138
119	154	1133
120	155	1129
121	156	1125
122	157	1121
123	158	1117
124	159	1113
125	160	1109
126	161	1112
127	162	1108
128	163	1105
129	164	1101
130	165	1096
131	166	1092
132	166	1088
133	167	1085
134	168	1081
135	169	1077
136	170	1074
137	172	1075
138	173	1072
139	173	1068
140	174	1064
141	175	1060
142	175	1053
143	176	1050
144	177	1046
145	178	1043
146	17146	188147	18147	190148	18148	191149	18149	192150	18150	193151	184	1031
152	185	1028
153	186	1025
154	187	1022
155	188	1019
156	189	1017
157	192	1023
158	192	1020
159	193	1017
160	194	1014
161	195	1010
162	196	1007
163	197	1004
164	197	1001
165	198	999
166	199	996
167	200	993
168	201	9168169	203	992
170	204	989
171	204	986
172	205	983
173	206	980
174	207	977
175	208	974
176	209	971
177	209	969
178	210	966
179	211	963
180	213	965
181	214	963
182	215	961
183	216	959
184	217	957
185	218	955
186	219	953
187	220	950
188	221	948
189	221	946
190	222	944
191	223	942
192	224	939
193	226	942
194	227	940
195	228	937
196	229	935
197	230	933
198	232	934
199	233	932
200	233	929
201	234	927
202	235	924
203	236	922
204	237	920
205	238	917
206	238	915
207	239	912
208	240	911
209	243	914
210	243	912
211	244	909
212	245	907
213	246	904
214	247	902
215	247	899
216	248	897
217	249	895
218	250	893
219	251	891
220	252	888
221	254	891
222	255	889
223	255	886222	268	934
223	269	932
224	270	930
225	270	928
226	271	925
227	272	922
228	273	920
2231	263	8702232	264	8692233	265	8672234	265	865233	278	912
234	279	909
2237	268	859236	281	905
237	282	903
238	283	901
239	284	899
240	284	897
241	285	895
242	286	893
