Australia,9887846 ,9999199 ,10100991 ,10218321 ,10348070 ,10570420 ,10770864 ,10986535 ,11218144 ,11359807 ,11402769 
Austria,4179743,4158169,4190297,4220228,4246571,4261752,4277716,4287213,4296197,4308915,4324983
Belgium,5267437 ,5288959 ,5309245 ,5334527 ,5367561 ,5403126 ,5442557 ,5484429 ,5527684 ,4996609 ,5622157 
Canada,,15829173,15834015,16146667,16303914,16478759,16601231,16802833,16807738,17101813,17379104
Czech Republic,5264218 ,5236563 ,5236715 ,5239664 ,5248431 ,5261005 ,5298196 ,5331165 ,5349616 ,5363971 ,5347235 
Denmark,2714208,2721084,2727505,2734113,2741613,2750422,2763125,2779431,2791452,2804046,2813740
Finland,2657304 ,2661379 ,2666839 ,2674534 ,2683230 ,2693213 ,2703697 ,2714661 ,2726360 ,2736860 ,2748733 
France,30510073,30655533,30789154,32147490,32390087,32587979,32770860,33208315,33384930,33598633,33723892
Germany,42165633 ,42191801 ,42175657 ,42147222 ,42098034 ,42013740 ,41943545 ,41818073 ,41698651 ,41639177 ,41637080 
Greece,5547887,5557795,5576249,5596119,5617014,5639693,5659890,5683662,5707653,5709818,5699936
Hungary,5337873 ,5323906 ,5312629 ,5304434 ,5292002 ,5287080 ,5275839 ,5267925 ,5257424 ,5241821 ,5226007 
Iceland,143125,144184,145169,146407,148689,151096,154563,157300,157694,158446,159211
Ireland,1954407 ,1994513 ,2024954 ,2062080 ,2107143 ,2118677 ,2203852 ,2235183 ,2251410 ,2301435 ,2312938 
Italy,29406500,29554847,29819637,30085571,30224823,30412846,30669543,30892645,31052925,31213168,31308292
Japan,65047000 ,65185000 ,65313000 ,65390000 ,65419017 ,65440000 ,65461000 ,65441000 ,65380000 ,65730000 ,65615000 
Korea,23655780,23799133,23853954,23947171,24029575,24112093,24190904,24265213,24334223,24837101,24964884
Luxembourg,225230 ,227291 ,228580 ,230260 ,236986 ,240395 ,244192 ,248665 ,252660 ,257221 ,263033 
Mexico,51143166,51765793,52368927,52187289,52708439,53219640,53723982,54216256,54696909,55166362,59163070
Netherlands,8133318 ,8177101 ,8212118 ,8239547 ,8256803 ,8269478 ,8293326 ,8329391 ,8371513 ,8412317 ,8447477 
New Zealand,2005120,2037900,2064200,2082670,2101930,2157580,2176700,2198270,2223070,2240560,2253000
Norway,2282132 ,2296145 ,2308408 ,2322293 ,2338238 ,2355346 ,2377481 ,2404199 ,2431447 ,2459456 ,2486999 
Poland,19871665,19711782,19704178,19703582,19703200,19698704,19704140,19720950,19738587,19755664,19883870
Portugal,5343969 ,5377218 ,5408377 ,5434916 ,5453850 ,5469158 ,5478768 ,5484684 ,5489510 ,5490336 ,5511961 
Slovak Republic,2767030,2767855,2768929,2771332,2773308,2775353,2777871,2782450,2787987,2793033,2772570
Spain,20629952 ,21163499 ,21543353 ,21864746 ,22196988 ,22531907 ,22926377 ,23199728 ,23316596 ,23428062 ,23719209 
Sweden,4500683,4513681,4529014,4545081,4561202,4589734,4619006,4652637,4691668,4725326,4756021
Switzerland,3712121 ,3738824 ,3762609 ,3786406 ,3806626 ,3829380 ,3866480 ,3915181 ,3955240 ,3992708 ,4032409 
Turkey,,34753495,35023500,35484500,35945763,35945763,35209723,35615946,36098842,36679806,37191315
United Kingdom,29753779 ,30331409 ,30506793 ,30664861 ,30817364 ,30976313 ,31145537 ,31331174 ,31518326 ,31726030 ,32115485 
United States,141943484,146817188,147773459,149495099,150913782,152261670,154509976,154662649,155915671,157539944,158635141

