Australia,9753133 ,9873447 ,9990513 ,10121438 ,10257418 ,10444622 ,10660917 ,10888385 ,11124254 ,11260747 ,11280804 
Austria,3959567,3909120,3949825,3986296,4019354,4037171,4054214,4068047,4079093,4095337,4118035
Belgium,5042288 ,5066885 ,5087176 ,5111325 ,5143821 ,5181408 ,5224309 ,5268651 ,5312221 ,5370234 ,5413801 
Canada,,15532438,15538572,15842787,15995582,16170723,16326141,16524504,16526676,16826122,17113541
Czech Republic,5005508 ,4966706 ,4974740 ,4980913 ,5002648 ,5026184 ,5082934 ,5136377 ,5157197 ,5168799 ,5158210 
Denmark,2654146,2662423,2670135,2677292,2685846,2696662,2712666,2732020,2743286,2756582,2766776
Finland,2537597 ,2544916 ,2552893 ,2562077 ,2572350 ,2583742 ,2596787 ,2611653 ,2625067 ,2638416 ,2652534 
France,28827658,28974588,29111526,30371081,30608686,30804161,30982280,31158647,31331380,31531113,31670391
Germany,40274676 ,40344879 ,40356014 ,40353627 ,40339961 ,40301166 ,40274292 ,40184283 ,40103606 ,40112425 ,40206663 
Greece,5440113,5448582,5464401,5486632,5508165,5532047,5553895,5576740,5597465,5600067,5590131
Hungary,4836980 ,4818456 ,4804113 ,4793115 ,4784579 ,4779078 ,4769562 ,4763050 ,4756900 ,4743901 ,4731724 
Iceland,143450,144287,145401,147170,151202,156576,160896,162068,159936,160006,160364
Ireland,1928276 ,1969123 ,2002778 ,2047093 ,2101876 ,2121171 ,2197483 ,2214847 ,2216444 ,2268429 ,2269831 
Italy,27587242,27766223,28068608,28376804,28526888,28718441,28949747,29152423,29287403,29413274,29512404
Japan,62244000 ,62250000 ,62307000 ,62297000 ,62348977 ,62330000 ,62310000 ,62251000 ,62130000 ,62327000 ,62184000 
Korea,23983838,24126185,24228209,24190906,24267609,24344276,24415883,24481480,24540316,24942339,25039557
Luxembourg,218820 ,221009 ,223020 ,224740 ,232100 ,235792 ,239607 ,244835 ,249406 ,254619 ,261820 
Mexico,50683083,51274171,51844576,50814582,51238427,51654642,52066743,52466262,52853788,53229849,56519797
Netherlands,7971967 ,8015471 ,8045914 ,8065979 ,8077407 ,8088514 ,8112073 ,8156396 ,8203476 ,8243482 ,8282871 
New Zealand,1934010,1971300,1998300,2017900,2037540,2070700,2092180,2117570,2144670,2164590,2180100
Norway,2241934 ,2256107 ,2269049 ,2284070 ,2301981 ,2325788 ,2359690 ,2395053 ,2426752 ,2460849 ,2498871 
Poland,18760788,18506749,18486430,18470253,18453855,18426775,18411501,18414926,18428742,18444373,18654577
Portugal,4991590 ,5030247 ,5066308 ,5094339 ,5115742 ,5129937 ,5138807 ,5142566 ,5148203 ,5146643 ,5030437 
Slovak Republic,2611921,2611306,2611124,2613490,2615872,2618284,2623127,2629804,2636938,2642240,2631752
Spain,19779378 ,20387085 ,20801989 ,21173289 ,21561262 ,21942724 ,22356882 ,22628444 ,22672420 ,22724864 ,23099012 
Sweden,4408445,4427107,4446656,4466311,4486550,4523523,4563921,4603710,4649014,4690244,4726834
Switzerland,3549089 ,3575029 ,3601539 ,3628696 ,3652502 ,3679359 ,3727014 ,3786675 ,3830566 ,3877426 ,3922253 
Turkey,,35418484,35666000,36123000,36574211,36574211,35376533,35901154,36462470,37043182,37532954
United Kingdom,28953126 ,28930648 ,29193035 ,29394997 ,29595506 ,29805033 ,30033723 ,30263920 ,30508636 ,30772582 ,31140669 
United States,135301432,141957038,143037260,144947584,146394361,147922764,150336755,150464902,151840906,152449134,153596908

