Year	"Average"	"Min USD/EUR"	"Max USD/EUR"	"Working days"
2016	0.901696	0.864379	0.959785	247
2015	0.901896	0.830358	0.947688	256
2014	0.753941	0.716692	0.823655	255
2013	0.753234	0.723903	0.783208	255
2012	0.778848	0.743273	0.827198	256
2011	0.719219	0.671953	0.775855	257
2010	0.755883	0.686672	0.837381	258
2009	0.718968	0.661376	0.796495	256
2008	0.683499	0.625391	0.802568	256
2007	0.730754	0.672314	0.775615	255
2006	0.797153	0.750131	0.845594	255
2005	0.805097	0.740357	0.857118	257
2004	0.804828	0.733514	0.847314	259
2003	0.885766	0.791766	0.963670	255
2002	1.060945	0.953562	1.165773	255
2001	1.117587	1.047669	1.192748	255
2000	1.085899	0.962649	1.211827	255
1999	0.939475	0.848176	0.998502	261
