,state,town
0,Alabama[edit],"Auburn (Auburn University)[1]
"
1,Alabama[edit],"Florence (University of North Alabama)
"
2,Alabama[edit],"Jacksonville (Jacksonville State University)[2]
"
3,Alabama[edit],"Livingston (University of West Alabama)[2]
"
4,Alabama[edit],"Montevallo (University of Montevallo)[2]
"
5,Alabama[edit],"Troy (Troy University)[2]
"
6,Alabama[edit],"Tuscaloosa (University of Alabama, Stillman College, Shelton State)[3][4]
"
7,Alabama[edit],"Tuskegee (Tuskegee University)[5]
"
8,Alaska[edit],"Fairbanks (University of Alaska Fairbanks)[2]
"
9,Arizona[edit],"Flagstaff (Northern Arizona University)[6]
"
10,Arizona[edit],"Tempe (Arizona State University)
"
11,Arizona[edit],"Tucson (University of Arizona)
"
12,Arkansas[edit],"Arkadelphia (Henderson State University, Ouachita Baptist University)[2]
"
13,Arkansas[edit],"Conway (Central Baptist College, Hendrix College, University of Central Arkansas)[2]
"
14,Arkansas[edit],"Fayetteville (University of Arkansas)[7]
"
15,Arkansas[edit],"Jonesboro (Arkansas State University)[8]
"
16,Arkansas[edit],"Magnolia (Southern Arkansas University)[2]
"
17,Arkansas[edit],"Monticello (University of Arkansas at Monticello)[2]
"
18,Arkansas[edit],"Russellville (Arkansas Tech University)[2]
"
19,Arkansas[edit],"Searcy (Harding University)[5]
"
20,California[edit],"Angwin (Pacific Union College)[2]
"
21,California[edit],"Arcata (Humboldt State University)[5]
"
22,California[edit],"Berkeley (University of California, Berkeley)[5]
"
23,California[edit],"Chico (California State University, Chico)[2]
"
24,California[edit],"Claremont (Claremont McKenna College, Pomona College, Harvey Mudd College, Scripps College, Pitzer College, Keck Graduate Institute, Claremont Graduate University)[5]
"
25,California[edit],"Cotati (California State University, Sonoma)[2]
"
26,California[edit],"Davis (University of California, Davis)[1]
"
27,California[edit],"Irvine (University of California, Irvine)
"
28,California[edit],"Isla Vista (University of California, Santa Barbara)[2]
"
29,California[edit],"University Park, Los Angeles (University of Southern California)
"
30,California[edit],"Merced (University of California, Merced)
"
31,California[edit],"Orange (Chapman University)
"
32,California[edit],"Palo Alto (Stanford University)
"
33,California[edit],"Pomona (Cal Poly Pomona, WesternU)[9][10][11] and formerly Pomona College
"
34,California[edit],"Redlands (University of Redlands)
"
35,California[edit],"Riverside (University of California, Riverside, California Baptist University, La Sierra University)
"
36,California[edit],"Sacramento (California State University, Sacramento)
"
37,California[edit],"University District, San Bernardino (California State University, San Bernardino, American Sports University)
"
38,California[edit],"San Diego (University of California, San Diego, San Diego State University)
"
39,California[edit],"San Luis Obispo (California Polytechnic State University)[2]
"
40,California[edit],"Santa Barbara (Fielding Graduate University, Santa Barbara City College, University of California, Santa Barbara, Westmont College)[2]
"
41,California[edit],"Santa Cruz (University of California, Santa Cruz)[2]
"
42,California[edit],"Turlock (California State University, Stanislaus)
"
43,California[edit],"Westwood, Los Angeles (University of California, Los Angeles)[2]
"
44,California[edit],"Whittier (Whittier CollegeRio Hondo College)
"
45,Colorado[edit],"Alamosa (Adams State College)[2]
"
46,Colorado[edit],"Boulder (University of Colorado at Boulder)[12]
"
47,Colorado[edit],"Durango (Fort Lewis College)[2]
"
48,Colorado[edit],"Fort Collins (Colorado State University)[13]
"
49,Colorado[edit],"Golden (Colorado School of Mines)
"
50,Colorado[edit],"Grand Junction (Colorado Mesa University)
"
51,Colorado[edit],"Greeley (University of Northern Colorado)
"
52,Colorado[edit],"Gunnison (Western State College)[2]
"
53,Colorado[edit],"Pueblo, Colorado (Colorado State University-Pueblo)
"
54,Connecticut[edit],"Fairfield (Fairfield University, Sacred Heart University)
"
55,Connecticut[edit],"Middletown (Wesleyan University)
"
56,Connecticut[edit],"New Britain (Central Connecticut State University)
"
57,Connecticut[edit],"New Haven (Yale University, University of New Haven, Southern Connecticut State University, Albertus Magnus College, Quinnipiac University)[14]
"
58,Connecticut[edit],"New London (Connecticut College, US Coast Guard Academy, Mitchell College)[2]
"
59,Connecticut[edit],"Storrs (University of Connecticut)[2]
"
60,Connecticut[edit],"Willimantic (Eastern Connecticut State University)[2]
"
61,Delaware[edit],"Dover (Delaware State University)[1]
"
62,Delaware[edit],"Newark (University of Delaware)[1]
"
63,Florida[edit],"Ave Maria (Ave Maria University)
"
64,Florida[edit],"Boca Raton (Florida Atlantic University)
"
65,Florida[edit],"Coral Gables (University of Miami)
"
66,Florida[edit],"DeLand (Stetson University)[5]
"
67,Florida[edit],"Estero (Florida Gulf Coast University)
"
68,Florida[edit],"Gainesville (University of Florida, Santa Fe College)
"
69,Florida[edit],"Orlando (University of Central Florida)
"
70,Florida[edit],"Sarasota (New College of Florida, Ringling College of Art and Design, State College of Florida, Manatee-Sarasota, University of South Florida Sarasota-Manatee)
"
71,Florida[edit],"St. Augustine (Flagler College)
"
72,Florida[edit],"St. Leo (St. Leo University)
"
73,Florida[edit],"Tallahassee (Florida State University, Florida A&M University)
"
74,Florida[edit],"Tampa (University of South Florida)
"
75,Georgia[edit],"Albany (Albany State University)
"
76,Georgia[edit],"Athens (University of Georgia)[15]
"
77,Georgia[edit],"Atlanta (Georgia State University, Georgia Tech, Emory)[2]
"
78,Georgia[edit],"Carrollton (University of West Georgia)[2]*Dahlonega (North Georgia College & State University)[2]
"
79,Georgia[edit],"Demorest (Piedmont College)[2]
"
80,Georgia[edit],"Fort Valley (Fort Valley State University)[2]
"
81,Georgia[edit],"Kennesaw (Kennesaw State University)
"
82,Georgia[edit],"Milledgeville (Georgia College & State University)[2]
"
83,Georgia[edit],"Mount Vernon (Brewton-Parker College)[2]
"
84,Georgia[edit],"Oxford (Oxford College)
"
85,Georgia[edit],"Rome (Berry College, Shorter University)
"
86,Georgia[edit],"Savannah (Armstrong Atlantic State University, Savannah State University, Savannah College of Art and Design)
"
87,Georgia[edit],"Statesboro (Georgia Southern University)[5]
"
88,Georgia[edit],"Valdosta (Valdosta State University)[2]
"
89,Georgia[edit],"Waleska (Reinhardt College)[2]
"
90,Georgia[edit],"Young Harris (Young Harris College)[2]
"
91,Hawaii[edit],"Manoa (University of Hawaii at Manoa)[2]
"
92,Idaho[edit],"Moscow (University of Idaho)[2]
"
93,Idaho[edit],"Pocatello (Idaho State University)[2]
"
94,Idaho[edit],"Rexburg (BYU-Idaho)[2]
"
95,Illinois[edit],"Carbondale (Southern Illinois University Carbondale)[5]
"
